Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Turkiye,TUR,"Population, total",SP.POP.TOTL,54324142,64113547,76576117,78112073,79646178,81019394,82089826,82809304,83481684,84135428,84775404,85341241
Turkiye,TUR,Population growth (annual %),SP.POP.GROW,1.8934206959458,1.45790187647314,1.71047645801465,1.98593891469702,1.94494215050342,1.70945078412567,1.31255286212126,0.872633549513093,0.808683227368703,0.780048417598582,0.757771487830032,0.665236593056155
Turkiye,TUR,Surface area (sq. km),AG.SRF.TOTL.K2,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,..
Turkiye,TUR,Population density (people per sq. km of land area),EN.POP.DNST,70.5847511141718,83.3043761287892,99.4973129945558,101.493020022608,103.486321998883,105.270576770656,106.661416524824,107.596252744825,108.469893325364,109.31931967309,110.150856905266,..
Turkiye,TUR,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,15,14.7,14.3,13.5,13.9,14.4,15,14.4,..,..
Turkiye,TUR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,0.3,0.2,0.2,0.2,0.1,0,0.4,..,..,..
Turkiye,TUR,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,124381507936.413,272932724136.009,956938934044.209,975159828807.834,944501102212.751,898805409668.571,890532673495.688,866736336482.205,808548176722.712,763636122505.482,841047914762.063,903481234076.853
Turkiye,TUR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2290,4260,12500,12480,11860,11090,10850,10470,9690,9080,9920,10590
Turkiye,TUR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,454489662795.125,600165353581.271,1688340181950.02,1844207553526.28,1999739226479.89,2094055826427.9,2235991452622.14,2269555617446.91,2277088844599.71,2304856474494.04,2547928725347.49,3151065993804.38
Turkiye,TUR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,8370,9360,22050,23610,25110,25850,27240,27410,27280,27390,30060,36920
Turkiye,TUR,Income share held by lowest 20%,SI.DST.FRST.20,..,..,5.8,5.8,5.6,5.7,5.8,5.8,5.4,..,..,..
Turkiye,TUR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.709,71.861,76.297,76.565,76.646,76.66,77.141,77.563,77.832,75.85,76.032,..
Turkiye,TUR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.126,2.505,2.165,2.2,2.194,2.177,2.14,2.054,1.967,1.917,1.889,..
Turkiye,TUR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,64.443,53.517,30.457,28.912,27.353,25.931,23.905,21.15,19.29,17.74,16.884,..
Turkiye,TUR,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,73.5,73.5,..,..,..,69.8,..,..,..,..
Turkiye,TUR,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,97.4,97.4,99,..,98,99.2,97,..,..,..
Turkiye,TUR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,74.2,37.9,14.7,13.8,13,12.2,11.4,10.7,10.1,9.5,9,..
Turkiye,TUR,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,2.3,..,..,..,..,1.5,..,..,..,..
Turkiye,TUR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,78,87,98,94,97,98,96,96,97,95,96,..
Turkiye,TUR,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,93.0440368652344,..,103.343299865723,99.0791091918945,98.8300704956055,134.545608520508,92.5956573486328,91.0360870361328,96.6259918212891,100.577331542969,103.435623168945,..
Turkiye,TUR,"School enrollment, primary (% gross)",SE.PRM.ENRR,105.998336791992,105.348022460938,114.724349975586,111.935722351074,107.29418182373,105.28328704834,97.4918975830078,100.931251525879,103.962959289551,103.296417236328,102.596397399902,..
Turkiye,TUR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,49.8229789733887,74.5879898071289,102.209701538086,105.97550201416,107.243186950684,108.547561645508,112.977333068848,112.115409851074,111.910400390625,112.527458190918,114.147331237793,..
Turkiye,TUR,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.782260000705719,0.818560004234314,0.976890027523041,0.980539977550507,0.980279982089996,0.981840014457703,0.964049994945526,0.979900002479553,0.970019996166229,0.977119982242584,..,..
Turkiye,TUR,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Turkiye,TUR,Forest area (sq. km),AG.LND.FRST.K2,197834.8,201483.5,214114.12,215208.56,216303,216303,217524.6,219083.6,220643.6,222203.6,223763.6,..
Turkiye,TUR,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,0.190624822703985,0.190652366562585,0.190652366562585,0.19065237415556,0.19065237415556,5.67226572455947,5.67226572455947
Turkiye,TUR,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,18.5022026431718,22.5726872246696,22.8942731277533,23.6607929515419,26.2599118942731,25.898231277533,26.9134713656388,27.1073039647577,27.1073039647577,..,..
Turkiye,TUR,Urban population growth (annual %),SP.URB.GROW,4.1206330603174,2.26122886011657,2.48138699860662,2.7359027066291,2.67302040871489,2.41743122457627,1.99814048713847,1.53891451694505,1.45469084070824,1.40614063630154,1.36560503608429,1.25511729650796
Turkiye,TUR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,970.421530081414,1184.72475091731,1527.07466219526,1555.98328570796,1628.20667929602,..,..,..,..,..,..,..
Turkiye,TUR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.56235800281945,3.37520711496433,4.16694672570039,4.37411896621922,4.43729766919889,4.64578888358508,5.09317926925561,5.00078952480992,4.77677115377788,4.84226692232433,..,..
Turkiye,TUR,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,922.812549897245,1630.23268701699,2732.2095739067,2815.04499310881,..,..,..,..,..,..,..,..
Turkiye,TUR,GDP (current US$),NY.GDP.MKTP.CD,150676194826.809,274294842523.054,957798998031.277,938934430070.659,864313960482.343,869682954136.208,858988578709.755,778476714087.962,759934804372.319,720288811761.915,819034484303.169,905987824096.127
Turkiye,TUR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.26614667149323,6.93323970455904,8.48581699653026,4.9397151613658,6.08448690443663,3.32308420845746,7.50199748917491,2.97988525813022,0.783610198384551,1.9400322454902,11.3534964080772,5.56586003977017
Turkiye,TUR,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,58.2443981066746,49.3607762430324,6.2801096970818,7.38951863770303,7.84491693010263,8.13047807814451,10.9824216683285,16.4758182074064,13.8192559838756,14.8528234526725,28.9505861055085,96.106781054
Turkiye,TUR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,17.4762288321229,10.0328526543258,6.67610812297851,6.55723547339657,6.86837534505832,6.14229206403875,6.03862979568919,5.77601221014132,6.40868714930889,6.66815502175033,5.54307698765026,6.46046479706226
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,31.0610690169089,26.7974121691922,27.6799921784829,28.1166611892662,27.8343492901217,28.0829597706854,29.1317212602651,29.4046222941905,27.2588172210829,28.0252013650582,31.1137138367434,31.8732802074889
Turkiye,TUR,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,13.3651028519296,19.8811989046161,23.7930095050818,25.2055416974053,24.5312773389092,23.0835091311263,26.0394223439924,31.1528780813097,32.5272015787758,28.7331269769847,35.3030142248797,37.8940143381867
Turkiye,TUR,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,17.5778926485052,22.4732381343953,28.7342892947321,28.560759468849,26.557266261846,25.244677102771,29.7227464055755,31.4014913972396,30.1615273793078,32.2228040644612,35.5319089745946,42.603940273982
Turkiye,TUR,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,24.5492675167824,23.7182041889344,29.6194607828599,28.9674633636774,28.1992021702007,28.0196036096236,30.6942181017627,29.3770492856674,25.2325449997412,31.5484413613926,31.8770767506007,35.0541666920245
Turkiye,TUR,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,13.6555927056466,..,30.8343306014254,30.3097485220209,30.5309064062257,31.0034219898642,29.4808889933504,30.4570221270613,30.7112136873329,30.2730068055677,29.9936678621093,..
Turkiye,TUR,Time required to start a business (days),IC.REG.DURS,..,..,10.5,11,11,10,10,7,7,..,..,..
Turkiye,TUR,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,72.3555640676851,74.9403642837415,77.1367796050065,80.0507516589936,80.2921005949606,82.2659518663075,82.9321042607698,98.3512406834346,94.6532482061408,73.8946872351865
Turkiye,TUR,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,11.5583312683401,..,18.3638081029172,17.9458170478531,18.1807806755588,18.2655872255633,17.7181577427261,17.2810641374945,16.5476756963403,17.6649402511587,17.8817572111649,..
Turkiye,TUR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.52770569378721,3.66109466979562,1.92395933259341,1.87196655112723,1.81284829274449,2.05032460503249,2.05006581752215,2.52369540945235,2.69365024001119,2.43156791269991,1.89889704063657,1.23348554849601
Turkiye,TUR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.058554077,25.16380041,90.96975758,92.0323995,92.45799717,92.64658163,94.77443648,96.74999684,96.77676962,97.61417509,101.785223,105.807654
Turkiye,TUR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,3.13023252515566,3.37964066838788,3.43602412158813,3.03809561130311,3.23269565316732,2.67351882884454,3.0281378949985,3.15272447974192,3.28355884557685,..
Turkiye,TUR,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,..,..,85.5555555555556,84.4444444444444,82.2222333333333,77.7778,85.5555666666667,77.7778,81.1111333333333,81.1111333333333,..,..
Turkiye,TUR,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,23.4025023266156,29.9961892258637,44.0910880955223,44.4809548594964,42.1838610354655,40.4096686417242,46.9400886104495,52.4512798662675,51.4752052083073,54.027633588821,60.6372514855146,68.2021307092577
Turkiye,TUR,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,111.647575041,102.3436104457,92.5500247252,93.9087303919,100,104.0498405441,98.6076511025,94.9721437221,94.733511193,99.6128322795,88.6360363382,..
Turkiye,TUR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,49424152195.2,116799280014,390418979727.8,406183127252.3,400057787893.1,410026357718.7,457281756683.8,447923482712,444540140466.2,441150332033.4,435450866075.5,..
Turkiye,TUR,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,33.7974418252197,38.8995854810205,27.5612998935031,24.2488504241703,25.9865887882398,37.2405633234639,38.2699507526334,34.6104571200039,34.6280217424942,41.5128129011079,25.4319379154178,..
Turkiye,TUR,Net migration,SM.POP.NETM,-22662,-77647,393572,703144,341261,375842,-252010,-261813,-218341,-80952,-69729,..
Turkiye,TUR,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,3246000000,4560000000,1901000000,1739000000,1385000000,1186000000,1048000000,1128000000,848000000,810000000,724000000,694000000
Turkiye,TUR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,715000000,982000000,13563000000,13337000000,19263000000,13835000000,11190000000,12450000000,9549000000,7700000000,13325000000,13094000000
Turkiye,TUR,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,1303849975.58594,328570007.324219,2847840087.89063,3446770019.53125,2141260009.76563,3609090087.89063,3147209960.9375,1189800048.82813,696159973.144531,538140014.648438,1055560058.59375,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,,,,
